la,lo,s
51.9543,-0.2729,3
51.6985,-0.4452,2
51.0703,0.9538,3
51.3637,1.0445,3
51.4427,0.2415,3
51.4238,0.2372,3
51.3087,1.3478,3
51.1249,1.304,3
51.1078,1.2696,2
51.4395,0.371,3
51.1622,0.6332,3
51.3498,1.4329,3
51.295,0.4842,2
51.1316,0.4577,3
53.8058,-2.234,3
53.8012,-2.3109,3
53.7604,-3.0139,2
53.7531,-2.3663,3
53.7461,-2.3635,2
54.0619,-2.8488,3
53.8549,-2.1802,3
53.763,-2.7378,3
53.723,-2.6875,3
52.6439,-1.2261,3
52.8852,-0.0876,3
52.9818,-0.0294,3
53.1782,0.3218,3
53.1092,0.2345,2
53.2314,-0.5081,3
53.3464,-0.3231,3
52.4877,0.845,3
52.7202,0.4406,3
52.7756,0.4681,3
52.6372,1.2942,3
52.6212,1.2913,2
53.0713,-1.2445,3
53.2442,-0.9031,3
53.4011,-0.9633,2
53.3772,-1.0431,3
53.227,-1.1891,3
52.9988,-1.134,3
53.1467,-1.1943,3
53.1391,-1.1964,3
53.0948,-1.1274,3
53.0816,-0.805,2
53.0935,-0.7864,1
51.8697,-1.1983,3
51.6965,-1.3607,2
51.7264,-1.5404,3
52.654,-2.0546,3
53.0952,-1.9924,2
53.1057,-2.0243,3
52.9569,-2.0448,2
52.0598,1.1477,3
51.3349,-0.2567,2
51.3066,-0.2714,3
51.3009,-0.4312,3
51.3032,-0.3225,2
51.2434,-0.1785,2
51.2944,-0.1654,3
51.1742,-0.1591,3
51.2425,-0.1675,2
51.3642,-0.5012,3
51.3347,-0.7663,3
51.1957,-0.8216,2
51.1822,-0.7524,3
51.1742,-0.6317,2
51.3381,-0.5169,3
52.3146,-1.2184,1
52.2709,-1.6137,3
51.1144,-0.1963,3
51.0059,-0.1041,3
50.9243,-0.1412,3
50.8301,-0.3998,3
52.3548,-1.8852,3
