Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
25/01/2023;12:05;VIA BELGIO nr. 47;0;C;38,151037;13,329937
25/01/2023;15:14;VIA ORETO altezza del civico 306;0;C;38,103188;13,369562
25/01/2023;19:30;VIA DEI QUARTIERI altezza del civico 23;1;F;38,163488;13,330116
25/01/2023;22:10;VIA CUSMANO GIACOMO intersezione VIA MARCONI GUGLIELMO;2;F;38,12476;13,347949
26/01/2023;07:53;VIALE REGIONE SICILIANA N.O. altezza 4850;0;C;38,14716;13,327171
26/01/2023;09:15;VIA ORETO intersezione con VIA ACCASCINA FILIPPO;1;F;38,100749;13,371005
26/01/2023;09:40;VIA BERGAMO pressi via F. corazza;0;C;38,102994;13,366219
26/01/2023;11:00;VIALE REGIONE SICILIANA N.O. altezza del civico 4365;1;F;38,146053;13,328691
26/01/2023;11:10;VIA DELLA LIBERTA' altezza del civico 106/A;0;C;38,141189;13,344936
26/01/2023;14:20;VIA DUCA DELLA VERDURA intersezione VIA DELLA LIBERTA';0;C;38,13372;13,349768
26/01/2023;18:40;VIA GREGORIO ROSARIO altezza del civico 16;0;C;38,110845;13,36774
26/01/2023;19:15;VIA ROMA intersezione con PIAZZA S.DOMENICO;1;F;38,11852;13,36266
27/01/2023;00:20;VIA INGRASSIA GIAN FILIPPO intersezione con CORSO DEI MILLE;0;C;38,10895;13,370783
27/01/2023;02:30;VIA DEI BENEDETTINI intersezione PIAZZA PORTA MONTALTO;0;C;38,108624;13,355751
27/01/2023;13:30;VIA ALTOFONTE altezza 229;0;C;38,079444;13,322935
27/01/2023;15:20;VIALE REGIONE SICILIANA di fronte PAGLIARELLI;3;F;38,092072;13,341414
27/01/2023;20:10;VIA MAJORANA ETTORE intersezione con VIA MINUTILLA SALVATORE;1;F;38,16279;13,310266
28/01/2023;00:15;VIA CRISPI FRANCESCO intersezione con VIA DELLO SPEZIALE;1;F;38,128741;13,361356
28/01/2023;03:00;VIALE DEL FANTE altezza piazza niscemi;0;C;38,163062;13,332841
28/01/2023;03:20;PIAZZA NASCE' FRANCESCO intersezione con VIA MAZZINI;1;F;38,128004;13,356419
28/01/2023;04:50;VIA ALTOFONTE a mt. 70 dopo 138;2;F;38,098973;13,337774
28/01/2023;13:30;CORSO CALATAFIMI altezza del civico 75;1;F;38,111211;13,350347
28/01/2023;14:15;VIA CAPPUCCINI di fronte al civico 174;1;F;38,110694;13,341187
28/01/2023;14:20;VIALE REGIONE SICILIANA S.E. s.n.c.;3;F;38,090203;13,3834
28/01/2023;14:20;VIA DELLA LIBERTA' di fronte al civico 46;1;F;38,130547;13,351817
28/01/2023;22:30;VIALE LAZIO intersezione VIA SCIUTI GIUSEPPE;2;F;38,141927;13,337362
29/01/2023;01:15;VIA LA MALFA UGO di fronte Comando P.M.;0;C;38,16141;13,314946
29/01/2023;18:00;VIALE REGIONE SICILIANA N.O. carr. centrale dir.ct;0;C;38,114121;13,329298
29/01/2023;20:15;VIA PECORAINO FILIPPO altezza del civico 16;2;F;38,096791;13,393881
30/01/2023;01:00;VIALE LEONARDO DA VINCI di fronte al civico 396;0;C;38,126725;13,314508
30/01/2023;03:40;VIA PECORI GIRALDI GUGLIELMO M intersezione PIAZZA GRANDI ACHILLE;2;F;38,097125;13,400041
30/01/2023;07:48;VIA ALDISIO SALVATORE intersezione VIA DANIMARCA;1;F;38,155591;13,330131
30/01/2023;09:10;VIA MORSO SALVATORE intersezione VIA ARCOLEO GIORGIO;1;F;38,106705;13,36131
30/01/2023;12:00;VIALE REGIONE SICILIANA N.O. altezza (inters.) VIA PERPIGNANO;1;F;38,119411;13,328507
30/01/2023;14:10;VIA BRIGATA VERONA intersezione con VIALE CAMPANIA;0;C;38,144057;13,339749
30/01/2023;17:10;VIA ROMA altezza del civico 65;1;F;38,113299;13,365303
30/01/2023;23:25;VIA ALMERICO PASQUALE altezza del civico 8;1;F;38,088905;13,353161
31/01/2023;06:45;VIALE GALILEO GALILEI intersezione con VIA PRINCIPE DI PATERNO';0;C;38,136374;13,332591
31/01/2023;07:45;VIA SPERONE di fronte al civico 284;0;C;38,099143;13,401202
31/01/2023;10:00;VIALE DUCA DEGLI ABRUZZI di fronte al civico 14/A;1;F;38,171765;13,327369
31/01/2023;14:00;VIA DELL'ORSA MINORE intersezione VIA DELL'ORSA MAGGIORE;1;F;41,813051;12,445822
31/01/2023;15:50;VIA LA LOGGIA GAETANO intersezione VIA SUNSERI GIUSEPPE;3;F;38,108481;13,338682
31/01/2023;18:00;VIA DANTE nr. 332 A;2;F;38,121812;13,342661
31/01/2023;19:20;VIALE DEL FANTE a mt. 63,20 dal n?64;1;F;38,155981;13,338359
01/02/2023;06:45;VIALE GALILEO GALILEI intersezione VIA PACINOTTI ANTONIO;0;C;38,130037;13,334951
